"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","python.utilities.cli.section","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Verify terminal/TTY check matches the system's report.","0","test_is_terminal","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestSystemChecks","test_checks","",""
"Verify panel() handles both str and Renderable content.","1","test_panel_content_types","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestUIElements","test_cli","",""
"","0","python.utilities.cli.warning","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Verify backup_file() creates a backup with a custom suffix.","1","test_backup_file_with_suffix","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileOperations","test_files","",""
"Verify section() and header() fall back to a default width on OSError.","2","test_section_and_header_os_error","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestUIElements","test_cli","",""
"Verify parallel execution handles commands that are not found.","1","test_run_parallel_command_not_found","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunParallelFunction","test_shell","",""
"Verify that fatal() logs at CRITICAL and raises typer.Exit.","1","test_fatal","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestAlertFunctions","test_cli","",""
"Verify backup_file() raises FileNotFoundError for non-existent files.","0","test_backup_file_not_found","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileOperations","test_files","",""
"Verify extract_archive() extracts to the parent dir when no dest is given.","2","test_extract_archive_to_default_location","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileOperations","test_files","",""
"","2","python.utilities.files.read_yaml","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify internet connectivity check (only tests the failure case reliably).","1001","test_is_internet_available","test.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestSystemChecks","test_checks","",""
"Test the is_empty function with various inputs.","0","test_is_empty[False-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Verify dry_run=True prints the command and returns a mock result.","0","test_run_dry_run","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunFunction","test_shell","",""
"Test the is_true function with various inputs.","0","test_is_true[True-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Verify file identification.","0","test_is_file","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileSystemChecks","test_checks","",""
"Verify _get_key_windows logic by mocking platform and msvcrt.","3","test_get_key_windows_mocked","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInternalHelpers","test_cli","",""
"","9","python.utilities.shell.run","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","shell","",""
"Test the is_numeric function with various inputs.","0","test_is_numeric[-20-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Test the is_true function with various inputs.","0","test_is_true[value8-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Test the is_email function with various inputs.","0","test_is_email[test@example.com-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Test the is_true function with various inputs.","0","test_is_true[None-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Test the is_empty function with various inputs.","0","test_is_empty[None-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Verify that output_mode='frame' calls the framing helper function.","1","test_run_frame_mode","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunFunction","test_shell","",""
"Test the is_empty function with various inputs.","0","test_is_empty[value4-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"","0","python.utilities.cli.selection","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Test the is_true function with various inputs.","1","test_is_true[Yes-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"","2","python.utilities.checks.is_file","scriptize.assets.python.utilities","Sat Sep 06 02:27:26 UTC 2025","passed","Sat Sep 06 02:27:26 UTC 2025","","checks","",""
"Test the is_true function with various inputs.","0","test_is_true[true-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Verify that success() logs at the INFO level with the correct marker.","1","test_success","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestAlertFunctions","test_cli","",""
"","0","python.utilities.files.get_basename","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify get_name() extracts the full filename.","0","test_get_name","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestPathInformation","test_files","",""
"Verify create_symlink() raises FileNotFoundError for a missing target.","0","test_create_symlink_missing_target","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileOperations","test_files","",""
"Verify framed_box() uses correct and fallback styles.","1","test_framed_box_styles[invalid_style-bright_black]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestUIElements","test_cli","",""
"Verify command existence check.","1","test_command_exists","test.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","TestSystemChecks","test_checks","",""
"Test the is_root function by simulating a Windows environment.","2","test_is_root_on_windows","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestMockedAndEdgeCases","test_checks","",""
"Verify the 'msvcrt' module is imported on Windows.","2","test_import_on_windows","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInternalHelpers","test_cli","",""
"","0","python.utilities.cli.confirm","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Verify a failing command with check=False returns a non-zero exit code.","1","test_run_failure_no_check","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunFunction","test_shell","",""
"Verify that debug() logs at the DEBUG level.","1","test_debug","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestAlertFunctions","test_cli","",""
"","0","python.utilities.cli.prompt","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","skipped","Sat Sep 06 02:27:27 UTC 2025","","cli","",""
"Test the is_empty function with various inputs.","0","test_is_empty[-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"Verify that warning() logs at the WARNING level.","2","test_warning","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestAlertFunctions","test_cli","",""
"","1","python.utilities.files.write_json","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"","1","python.utilities.checks.is_ipv4","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","checks","",""
"Test the is_ipv4 function with various inputs.","0","test_is_ipv4[not-an-ip-False]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestDataFormatValidation","test_checks","",""
"Verify directory identification.","1","test_is_dir","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileSystemChecks","test_checks","",""
"Verify read_file() raises FileNotFoundError for non-existent files.","1","test_read_file_not_found","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestFileIO","test_files","",""
"Verify _get_key() dispatches to the correct OS-specific function.","1","test_get_key_dispatcher","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInternalHelpers","test_cli","",""
"Verify that visual components are called when enabled.","5","test_run_parallel_visuals","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestRunParallelFunction","test_shell","",""
"","1","python.utilities.checks.command_exists","scriptize.assets.python.utilities","Sat Sep 06 02:27:26 UTC 2025","passed","Sat Sep 06 02:27:26 UTC 2025","","checks","",""
"Test the is_empty function with various inputs.","0","test_is_empty[value3-True]","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestBooleanValueChecks","test_checks","",""
"","1","python.utilities.files.write_file","scriptize.assets.python.utilities","Sat Sep 06 02:27:27 UTC 2025","passed","Sat Sep 06 02:27:27 UTC 2025","","files","",""
"Verify confirm() returns False for 'no'.","0","test_confirm_no","test.utilities","Sat Sep 06 02:27:28 UTC 2025","passed","Sat Sep 06 02:27:28 UTC 2025","TestInteractivePrompts","test_cli","",""
