"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","python.utilities.checks.is_fqdn","scriptize.assets.python.utilities","Sat Sep 06 02:34:36 UTC 2025","passed","Sat Sep 06 02:34:36 UTC 2025","","checks","",""
"Verify file identification.","0","test_is_file","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestFileSystemChecks","test_checks","",""
"Verify that debug() logs at the DEBUG level.","1","test_debug","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestAlertFunctions","test_cli","",""
"","3","python.utilities.files.write_yaml","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","passed","Sat Sep 06 02:34:37 UTC 2025","","files","",""
"","1","python.utilities.checks.is_file","scriptize.assets.python.utilities","Sat Sep 06 02:34:36 UTC 2025","passed","Sat Sep 06 02:34:36 UTC 2025","","checks","",""
"","0","python.utilities.cli.section","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","skipped","Sat Sep 06 02:34:37 UTC 2025","","cli","",""
"Test the is_ipv4 function with various inputs.","0","test_is_ipv4[not-an-ip-False]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestDataFormatValidation","test_checks","",""
"","0","python.utilities.cli.warning","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","skipped","Sat Sep 06 02:34:37 UTC 2025","","cli","",""
"Test the is_numeric function with various inputs.","0","test_is_numeric[-20-True]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestDataFormatValidation","test_checks","",""
"","1","python.utilities.files.create_temp_file","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","passed","Sat Sep 06 02:34:37 UTC 2025","","files","",""
"Verify 'stream' mode prints both stdout and stderr.","2","test_run_stream_mode_with_stdout_and_stderr","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestRunFunction","test_shell","",""
"Verify that success() logs at the INFO level with the correct marker.","1","test_success","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestAlertFunctions","test_cli","",""
"Verify extract_archive() extracts to the parent dir when no dest is given.","1","test_extract_archive_to_default_location","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestFileOperations","test_files","",""
"","0","python.utilities.cli.debug","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","skipped","Sat Sep 06 02:34:37 UTC 2025","","cli","",""
"","1","python.utilities.checks.is_dir","scriptize.assets.python.utilities","Sat Sep 06 02:34:36 UTC 2025","passed","Sat Sep 06 02:34:36 UTC 2025","","checks","",""
"Verify a command runs in the specified working directory.","1","test_run_with_cwd","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestRunFunction","test_shell","",""
"Verify command existence check.","1","test_command_exists","test.utilities","Sat Sep 06 02:34:38 UTC 2025","passed","Sat Sep 06 02:34:38 UTC 2025","TestSystemChecks","test_checks","",""
"","0","python.utilities.cli.framed_box","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","skipped","Sat Sep 06 02:34:37 UTC 2025","","cli","",""
"Verify dry_run=True prints the command and returns a mock result.","1","test_run_dry_run","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestRunFunction","test_shell","",""
"","1","python.utilities.files.backup_file","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","passed","Sat Sep 06 02:34:37 UTC 2025","","files","",""
"Verify _get_key_windows logic by mocking platform and msvcrt.","2","test_get_key_windows_mocked","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestInternalHelpers","test_cli","",""
"Verify _frame_output branches on different results.","1","test_frame_output[1--error-True]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestInternalHelpers","test_shell","",""
"Test the is_email function with various inputs.","0","test_is_email[not-an-email-False]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestDataFormatValidation","test_checks","",""
"Test the is_ipv6 function with various inputs.","0","test_is_ipv6[::1-True]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestDataFormatValidation > test_is_ipv6[","test_checks","",""
"","1","python.utilities.files.write_file","scriptize.assets.python.utilities","Sat Sep 06 02:34:37 UTC 2025","passed","Sat Sep 06 02:34:37 UTC 2025","","files","",""
"Test the success path of is_internet_available by mocking the socket.","1","test_internet_available_success","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestMockedAndEdgeCases","test_checks","",""
"Test the is_root function by simulating a Windows environment.","2","test_is_root_on_windows","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestMockedAndEdgeCases","test_checks","",""
"Verify backup_file() raises FileNotFoundError for non-existent files.","0","test_backup_file_not_found","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestFileOperations","test_files","",""
"Verify the 'continue' branch in random_line() is covered.","0","test_random_line_branch_coverage","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestFileContentAnalysis","test_files","",""
"Verify terminal/TTY check matches the system's report.","0","test_is_terminal","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestSystemChecks","test_checks","",""
"Test the is_true function with various inputs.","0","test_is_true[None-False]","test.utilities","Sat Sep 06 02:34:39 UTC 2025","passed","Sat Sep 06 02:34:39 UTC 2025","TestBooleanValueChecks","test_checks","",""
